DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
R1-211,"94,4%","96,0%","98,0%","97,9%","97,9%","97,9%","98,0%","97,9%","97,9%","97,8%","97,8%","97,9%"
R1-213,"92,3%","92,3%","92,3%","97,1%","97,1%","97,1%","97,1%","97,5%","97,2%","96,8%","97,2%","97,2%"
R1-214,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-215,"99,0%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%"
R1-216,"99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%"
R1-217,"100,0%","100,0%","100,0%","100,0%","100,0%","99,8%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-218,"90,5%","92,5%","94,4%","95,8%","96,0%","96,4%","96,6%","97,1%","97,1%","97,2%","97,5%","97,9%"
R1-220,"99,5%","99,5%","99,5%","99,6%","99,6%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%"
R1-221,"99,0%","99,5%","99,5%","99,5%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%"
R1-222,"99,4%","99,7%","99,7%","100,0%","100,0%","99,9%","99,9%","99,7%","99,7%","99,6%","99,6%","99,6%"
R1-223,"98,6%","99,6%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%"
R1-224,"99,6%","99,6%","99,6%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,6%"
R1-225,"99,6%","99,6%","99,6%","0,0%","99,3%","99,4%","99,4%","99,2%","99,1%","99,1%","99,1%","99,1%"
R1-226,"99,6%","99,6%","99,6%","99,7%","99,7%","99,7%","99,7%","99,7%","99,9%","99,9%","100,0%","100,0%"
R1-227,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,9%","100,0%","100,0%","99,6%"
R1-228,"97,9%","99,0%","99,0%","98,7%","98,7%","98,2%","99,0%","99,0%","99,2%","99,2%","99,2%","99,2%"
R1-229,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-231,"99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,6%","99,6%","99,3%"
R1-232,"99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,3%","99,3%","99,3%","99,4%","99,3%","99,4%"
R1-233,"99,2%","99,3%","99,5%","99,7%","99,4%","99,4%","99,6%","99,0%","99,0%","99,0%","99,0%","98,9%"
R1-234,"99,7%","99,6%","99,6%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,3%"
R1-236,"100,0%","100,0%","100,0%","98,8%","99,0%","99,0%","97,6%","97,8%","98,8%","99,1%","99,3%","99,5%"
R1-237,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-238,"99,8%","99,8%","99,8%","99,8%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-239,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-240,"99,1%","99,2%","99,2%","99,4%","99,4%","99,4%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%"
R1-241,"8,8%","8,8%","8,8%","8,8%","8,7%","8,7%","8,7%","8,7%","8,7%","8,6%","8,6%","8,6%"
R1-242,"98,9%","98,9%","98,7%","98,7%","98,7%","98,7%","98,7%","98,7%","98,9%","98,9%","98,9%","98,9%"
R1-243,"99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%"
R1-244,"94,5%","94,5%","97,3%","97,3%","97,6%","97,6%","97,5%","97,6%","97,6%","97,6%","97,6%","97,6%"
R1-245,"93,2%","95,6%","95,6%","95,6%","95,6%","95,5%","95,2%","95,2%","95,2%","95,2%","95,2%","94,9%"
R1-246,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-247,"99,9%","99,9%","99,9%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-248,"99,2%","99,2%","99,2%","99,3%","99,3%","99,3%","99,3%","99,3%","99,3%","99,3%","99,3%","99,4%"
R1-249,"99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%"
R1-250,"99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,4%","99,6%","99,6%","99,6%","99,6%","99,6%"
R1-251,"99,9%","100,0%","100,0%","99,9%","100,0%","100,0%","100,0%","100,0%","99,8%","99,8%","99,4%","99,8%"
R1-252,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
,,,,,,,,,,,,
DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
R1-253,"97,6%","97,9%","98,0%","98,0%","98,0%","98,0%","98,0%","97,3%","98,0%","98,0%","98,0%","98,0%"
R1-254,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-255,"98,6%","99,1%","99,1%","99,2%","99,3%","99,4%","99,4%","99,4%","99,5%","99,5%","99,5%","99,5%"
R1-256,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-257,"93,5%","93,4%","93,2%","93,2%","93,0%","92,9%","92,8%","94,4%","94,3%","94,3%","94,2%","94,1%"
R1-258,"72,4%","76,0%","79,1%","80,7%","81,0%","82,4%","83,5%","83,7%","84,5%","86,0%","86,0%","86,2%"
R1-259,"97,3%","97,3%","97,3%","97,4%","97,4%","98,7%","98,7%","98,7%","99,7%","99,3%","99,3%","99,3%"
R1-260,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,9%","99,9%","99,9%","99,9%"
R1-261,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%"
R1-262,"99,0%","99,1%","99,1%","99,1%","99,1%","99,1%","99,0%","99,2%","99,0%","99,2%","99,3%","99,3%"
R1-264,"98,5%","98,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%"
R1-265,"100,0%","100,0%","100,0%","100,0%","100,0%","99,8%","99,8%","100,0%","100,0%","100,0%","99,8%","100,0%"
R1-266,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-267,"97,1%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-268,"96,7%","96,8%","96,7%","97,3%","97,4%","97,3%","97,4%","97,6%","97,6%","97,5%","97,6%","97,5%"
R1-269,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-270,"99,7%","99,7%","99,7%","99,7%","99,7%","99,6%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%"
R1-271,"99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,6%"
R1-272,"96,2%","96,4%","98,7%","98,7%","99,0%","99,2%","99,4%","99,3%","99,3%","99,3%","99,3%","99,4%"
R1-273,"93,5%","93,4%","93,7%","92,8%","93,0%","93,3%","93,5%","93,6%","93,8%","92,5%","92,7%","92,9%"
R1-274,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-275,"99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,0%","98,9%","98,9%","99,2%"
R1-276,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%",SIN DATOS,SIN DATOS,SIN DATOS
R1-277,"94,2%","95,5%","98,1%","98,2%","98,2%","98,2%","98,2%","98,1%","98,1%","97,9%","97,9%","97,9%"
R1-278,"98,5%","98,5%","98,5%","98,5%","98,5%","98,5%","98,5%","98,5%","98,5%","98,5%","98,5%","98,5%"
R1-279,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-281,"99,8%","100,0%","99,9%","100,0%","99,1%","100,0%","100,0%","99,8%","100,0%","99,9%","100,0%","100,0%"
R1-282,"97,5%","98,1%","98,1%","98,1%","99,5%","99,3%","99,3%","99,3%","99,3%","99,6%","99,6%","99,5%"
R1-283,"97,9%","97,9%","97,9%","97,9%","97,8%","97,8%","97,8%","97,8%","97,8%","96,9%","96,9%","96,5%"
R1-284,"85,7%","85,7%","86,8%","92,4%","92,4%","92,6%","93,8%","93,8%","93,8%","93,8%","93,8%","93,8%"
R1-285,"81,7%","97,1%","97,1%","97,0%","99,3%","99,2%","99,2%","98,8%","98,8%","98,7%","98,6%","98,6%"
R1-286,"99,8%","99,8%","99,6%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%"
R1-287,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-288,"99,0%","99,0%","99,0%","99,0%","99,7%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-289,"93,7%","93,7%","93,7%","93,7%","93,5%","99,8%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-290,"99,4%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%"
R1-291,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-293,"92,8%","93,5%","93,5%","98,6%","99,3%","99,3%","99,3%","99,3%","99,3%","99,3%","99,3%","99,3%"
R1-294,"96,8%","96,9%","97,0%","96,1%","96,3%","96,3%","96,4%","96,8%","97,1%","97,5%","97,5%","97,6%"
R1-295,"100,0%","100,0%","100,0%","99,9%","99,9%","100,0%","99,8%","99,9%","100,0%","100,0%","99,9%","99,9%"
,,,,,,,,,,,,
DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
R1-296,"0,2%","0,2%","0,1%","99,5%","99,5%","99,5%","56,0%","56,0%","56,0%","53,8%","53,7%","53,6%"
R1-297,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%"
R1-298,"97,9%","97,9%","97,9%","98,2%","98,2%","98,2%","99,0%","99,0%","99,0%","99,5%","99,5%","99,5%"
R1-299,"97,3%","97,5%","97,7%","97,8%","98,0%","98,0%","98,0%","98,2%","98,3%","98,5%","98,6%","98,7%"
R1-300,"98,8%","98,8%","98,8%","98,8%","98,8%","98,8%","98,8%","98,8%","98,8%","98,8%","98,8%","98,8%"
R1-301,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-302,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-304,"90,5%","90,9%","94,7%","95,8%","96,6%","96,7%","96,9%","97,4%","97,9%","98,2%","98,3%","98,3%"
R1-305,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-306,"93,7%","98,3%","98,6%","98,6%","98,6%","98,6%","98,6%","98,5%","98,5%","98,5%","98,6%","98,3%"
R1-307,"96,0%","96,6%","96,3%","96,3%","96,6%","96,3%","96,1%","96,3%","96,3%","96,4%","96,4%","96,3%"
R1-309,"99,3%","99,3%","99,3%","99,3%","99,3%","99,3%","99,3%","99,3%","99,1%","99,3%","99,3%","99,1%"
R1-310,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-313,"94,3%","94,3%","94,3%","94,3%","94,4%","94,4%","94,4%","94,3%","93,8%","94,4%","94,4%","94,4%"
R1-314,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%"
R1-317,"97,1%","96,9%","97,0%","97,2%","97,2%","97,0%","96,0%","96,3%","96,8%","96,2%","96,2%","96,4%"
R1-319,"97,7%","97,8%","98,2%","98,3%","98,3%","98,3%","98,8%","99,0%","99,0%","99,1%","99,2%","99,2%"
R1-320,"98,0%","98,0%","98,4%","98,4%","98,4%","98,4%","98,4%","98,6%","99,0%","99,4%","99,4%","99,4%"
R1-323,"99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,4%","99,5%","99,5%","99,5%","99,5%","99,5%"
R1-325,"99,5%","99,5%","99,5%","99,5%","99,7%","99,7%","98,2%","99,1%","99,7%","98,3%","98,3%","98,3%"
R1-326,"99,1%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%"
R1-327,"97,9%","98,0%","98,9%","99,2%","99,5%","99,7%","98,5%","99,2%","99,4%","98,8%","98,7%","98,5%"
R1-329,"99,6%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","100,0%","100,0%","100,0%","100,0%"
R1-330,"99,7%","99,7%","99,3%","99,3%","99,7%","99,7%","99,0%","99,7%","99,7%","99,7%","99,7%","99,7%"
R1-335,"85,4%","85,3%","85,3%","85,3%","85,4%","85,6%","85,6%","85,6%","85,7%",SIN DATOS,SIN DATOS,SIN DATOS
R1-336,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-337,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-338,"80,4%","83,3%","84,7%","85,3%","85,3%","85,3%","85,2%","85,9%","94,0%","95,8%","95,8%","96,0%"
R1-339,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-340,"99,4%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%"
R1-341,"98,3%","98,3%","98,6%","98,6%","99,0%","99,0%","99,0%","99,0%","99,3%","99,3%","99,3%","99,7%"
R1-342,"99,0%","99,2%","99,2%","99,2%","99,3%","99,3%","99,2%","99,2%","99,2%","99,3%","99,3%","99,2%"
R1-343,"87,0%","86,9%","86,8%","86,5%","86,5%","86,5%","83,6%","83,6%","83,4%","0,4%","0,4%","99,1%"
R1-344,"99,0%","99,0%","99,0%","99,0%","99,0%","98,9%","98,9%","98,9%","98,9%","98,9%","98,8%","98,8%"
R1-345,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-346,"99,7%","99,7%","99,7%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%"
R1-347,"98,8%","98,8%","99,5%","99,5%","99,5%","99,5%","99,1%","99,1%","99,1%","99,5%","99,5%","99,6%"
R1-348,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-349,"95,3%","95,3%","95,3%","95,0%","95,3%","95,3%","95,3%","95,6%","95,3%","95,6%","95,5%","95,6%"
R1-350,"100,0%","99,8%","99,8%","99,8%","99,8%","99,6%","99,5%","99,5%","99,5%","99,6%","99,6%","99,6%"
,,,,,,,,,,,,
DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
R1-351,"100,0%","100,0%","99,4%","99,0%","99,8%","100,0%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%"
R1-352,"99,4%","99,7%","99,7%","99,7%","99,7%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-353,"99,4%","99,2%","99,3%","99,2%","99,1%","98,9%","99,1%","99,0%","99,0%","95,3%","95,1%","94,9%"
R1-354,"97,3%","97,3%","97,3%","97,3%","97,3%","97,3%","99,2%","99,2%","99,2%","97,6%","97,6%","97,6%"
R1-355,"84,9%","84,9%","84,9%","84,6%","84,6%","84,6%","86,1%","86,0%","85,7%","93,9%","93,8%","93,5%"
R1-356,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-357,"98,2%","98,4%","98,4%","98,4%","98,4%","98,4%","98,4%","98,4%","98,4%","98,4%","98,4%","98,4%"
R1-358,"99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,0%"
R1-359,"99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,3%","99,3%","99,3%","99,3%","99,3%","99,3%"
R1-360,"74,4%","79,0%","78,9%","80,0%","79,9%","79,8%","79,9%","79,8%","79,7%","79,7%","79,6%","79,5%"
R1-361,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%"
R1-362,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%"
R1-363,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-364,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%"
R1-365,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,7%","99,7%","99,7%","99,7%"
